node_id,in_degree,out_degree,directed_total_degree,undirected_degree
396,10,10,20,10
397,11,11,22,11
398,126,126,252,126
399,41,41,82,41
400,287,287,574,287
401,60,60,120,60
402,121,121,242,121
403,270,270,540,270
404,196,196,392,196
405,15,15,30,15
406,107,107,214,107
407,10,10,20,10
408,64,64,128,64
409,123,123,246,123
413,20,20,40,20
415,12,12,24,12
416,594,594,1188,594
417,106,106,212,106
418,127,127,254,127
419,31,31,62,31
420,135,135,270,135
423,340,340,680,340
424,33,33,66,33
425,143,143,286,143
426,145,145,290,145
427,13,13,26,13
429,32,32,64,32
430,166,166,332,166
436,21,21,42,21
438,144,144,288,144
440,50,50,100,50
441,152,152,304,152
442,177,177,354,177
443,359,359,718,359
444,438,438,876,438
446,122,122,244,122
447,10,10,20,10
448,260,260,520,260
449,145,145,290,145
450,149,149,298,149
451,53,53,106,53
452,255,255,510,255
454,186,186,372,186
455,79,79,158,79
456,91,91,182,91
457,81,81,162,81
458,662,662,1324,662
459,27,27,54,27
461,55,55,110,55
462,163,163,326,163
463,24,24,48,24
464,33,33,66,33
465,75,75,150,75
466,77,77,154,77
467,35,35,70,35
469,73,73,146,73
470,204,204,408,204
471,255,255,510,255
472,113,113,226,113
473,207,207,414,207
474,22,22,44,22
475,62,62,124,62
476,10,10,20,10
477,138,138,276,138
478,453,453,906,453
479,149,149,298,149
480,253,253,506,253
481,276,276,552,276
482,21,21,42,21
483,12,12,24,12
484,62,62,124,62
485,68,68,136,68
486,58,58,116,58
487,196,196,392,196
488,159,159,318,159
489,169,169,338,169
490,209,209,418,209
491,47,47,94,47
492,154,154,308,154
493,90,90,180,90
495,41,41,82,41
496,16,16,32,16
497,81,81,162,81
498,134,134,268,134
499,249,249,498,249
500,62,62,124,62
501,29,29,58,29
502,90,90,180,90
503,10,10,20,10
504,161,161,322,161
505,70,70,140,70
506,21,21,42,21
507,47,47,94,47
508,126,126,252,126
509,105,105,210,105
510,125,125,250,125
511,39,39,78,39
512,88,88,176,88
513,60,60,120,60
515,65,65,130,65
516,402,402,804,402
517,42,42,84,42
518,45,45,90,45
519,151,151,302,151
520,434,434,868,434
521,60,60,120,60
522,45,45,90,45
523,92,92,184,92
524,27,27,54,27
525,190,190,380,190
526,260,260,520,260
527,79,79,158,79
528,240,240,480,240
529,22,22,44,22
530,308,308,616,308
531,65,65,130,65
532,30,30,60,30
533,115,115,230,115
534,14,14,28,14
535,41,41,82,41
536,35,35,70,35
537,42,42,84,42
538,62,62,124,62
539,221,221,442,221
540,52,52,104,52
541,24,24,48,24
542,49,49,98,49
543,225,225,450,225
544,56,56,112,56
545,64,64,128,64
546,58,58,116,58
547,56,56,112,56
548,29,29,58,29
549,193,193,386,193
550,112,112,224,112
551,195,195,390,195
552,32,32,64,32
553,24,24,48,24
554,166,166,332,166
555,41,41,82,41
556,136,136,272,136
557,66,66,132,66
558,73,73,146,73
559,77,77,154,77
560,117,117,234,117
561,46,46,92,46
562,188,188,376,188
563,132,132,264,132
564,163,163,326,163
565,130,130,260,130
566,423,423,846,423
568,79,79,158,79
569,11,11,22,11
570,98,98,196,98
572,159,159,318,159
573,146,146,292,146
574,24,24,48,24
575,186,186,372,186
576,106,106,212,106
577,81,81,162,81
578,34,34,68,34
579,74,74,148,74
580,53,53,106,53
581,250,250,500,250
582,114,114,228,114
583,14,14,28,14
584,34,34,68,34
585,274,274,548,274
586,189,189,378,189
587,65,65,130,65
588,319,319,638,319
589,60,60,120,60
590,30,30,60,30
591,128,128,256,128
592,217,217,434,217
593,143,143,286,143
594,42,42,84,42
595,96,96,192,96
596,195,195,390,195
598,16,16,32,16
599,99,99,198,99
600,11,11,22,11
601,11,11,22,11
602,54,54,108,54
603,84,84,168,84
604,90,90,180,90
606,28,28,56,28
607,32,32,64,32
608,18,18,36,18
610,33,33,66,33
611,73,73,146,73
612,44,44,88,44
613,219,219,438,219
614,117,117,234,117
615,78,78,156,78
616,34,34,68,34
618,10,10,20,10
620,112,112,224,112
621,107,107,214,107
622,41,41,82,41
623,52,52,104,52
624,133,133,266,133
625,59,59,118,59
626,38,38,76,38
627,30,30,60,30
628,17,17,34,17
629,16,16,32,16
630,20,20,40,20
631,97,97,194,97
632,68,68,136,68
633,30,30,60,30
635,66,66,132,66
636,40,40,80,40
638,87,87,174,87
639,408,408,816,408
640,82,82,164,82
641,67,67,134,67
642,98,98,196,98
643,15,15,30,15
644,48,48,96,48
645,124,124,248,124
647,285,285,570,285
650,19,19,38,19
651,78,78,156,78
652,398,398,796,398
653,127,127,254,127
654,33,33,66,33
655,38,38,76,38
656,66,66,132,66
657,28,28,56,28
658,99,99,198,99
659,191,191,382,191
660,17,17,34,17
661,43,43,86,43
662,114,114,228,114
663,19,19,38,19
664,157,157,314,157
665,26,26,52,26
666,143,143,286,143
667,43,43,86,43
668,55,55,110,55
669,17,17,34,17
670,62,62,124,62
672,191,191,382,191
673,61,61,122,61
674,153,153,306,153
675,109,109,218,109
676,248,248,496,248
677,124,124,248,124
678,184,184,368,184
679,8,8,16,8
680,32,32,64,32
681,139,139,278,139
682,19,19,38,19
684,143,143,286,143
685,102,102,204,102
686,137,137,274,137
687,87,87,174,87
688,110,110,220,110
690,16,16,32,16
691,45,45,90,45
692,174,174,348,174
693,9,9,18,9
694,230,230,460,230
695,18,18,36,18
696,30,30,60,30
699,20,20,40,20
700,207,207,414,207
703,56,56,112,56
704,61,61,122,61
705,16,16,32,16
706,22,22,44,22
707,112,112,224,112
708,28,28,56,28
709,27,27,54,27
710,8,8,16,8
711,40,40,80,40
712,90,90,180,90
713,8,8,16,8
714,167,167,334,167
715,106,106,212,106
716,185,185,370,185
718,10,10,20,10
719,105,105,210,105
720,22,22,44,22
721,30,30,60,30
723,189,189,378,189
724,82,82,164,82
726,56,56,112,56
727,45,45,90,45
729,20,20,40,20
730,66,66,132,66
731,11,11,22,11
732,27,27,54,27
733,19,19,38,19
734,495,495,990,495
735,52,52,104,52
736,101,101,202,101
737,23,23,46,23
739,19,19,38,19
741,34,34,68,34
742,36,36,72,36
743,14,14,28,14
744,72,72,144,72
745,99,99,198,99
746,11,11,22,11
747,17,17,34,17
749,48,48,96,48
751,57,57,114,57
752,74,74,148,74
753,43,43,86,43
754,44,44,88,44
755,16,16,32,16
756,26,26,52,26
758,47,47,94,47
759,11,11,22,11
760,26,26,52,26
762,102,102,204,102
764,35,35,70,35
765,10,10,20,10
766,53,53,106,53
767,11,11,22,11
768,37,37,74,37
769,58,58,116,58
770,75,75,150,75
771,99,99,198,99
772,94,94,188,94
773,74,74,148,74
774,22,22,44,22
775,9,9,18,9
776,20,20,40,20
778,32,32,64,32
779,100,100,200,100
780,206,206,412,206
782,52,52,104,52
783,47,47,94,47
784,15,15,30,15
785,47,47,94,47
786,67,67,134,67
787,144,144,288,144
788,16,16,32,16
789,18,18,36,18
791,28,28,56,28
792,68,68,136,68
793,14,14,28,14
794,139,139,278,139
795,19,19,38,19
796,91,91,182,91
797,102,102,204,102
798,65,65,130,65
799,31,31,62,31
800,22,22,44,22
801,26,26,52,26
802,334,334,668,334
803,92,92,184,92
804,192,192,384,192
805,55,55,110,55
807,40,40,80,40
808,78,78,156,78
811,16,16,32,16
812,40,40,80,40
813,62,62,124,62
814,29,29,58,29
815,259,259,518,259
816,119,119,238,119
817,46,46,92,46
818,30,30,60,30
819,50,50,100,50
820,51,51,102,51
821,10,10,20,10
822,151,151,302,151
823,481,481,962,481
824,116,116,232,116
825,11,11,22,11
828,98,98,196,98
829,40,40,80,40
830,78,78,156,78
833,19,19,38,19
835,13,13,26,13
836,42,42,84,42
837,42,42,84,42
838,34,34,68,34
839,87,87,174,87
842,118,118,236,118
845,56,56,112,56
851,436,436,872,436
852,97,97,194,97
853,62,62,124,62
859,57,57,114,57
860,40,40,80,40
861,79,79,158,79
862,23,23,46,23
863,55,55,110,55
864,30,30,60,30
865,71,71,142,71
866,56,56,112,56
867,18,18,36,18
869,64,64,128,64
870,40,40,80,40
871,75,75,150,75
872,18,18,36,18
873,57,57,114,57
874,50,50,100,50
875,98,98,196,98
876,89,89,178,89
878,174,174,348,174
879,68,68,136,68
880,80,80,160,80
881,14,14,28,14
882,54,54,108,54
883,24,24,48,24
884,149,149,298,149
885,62,62,124,62
887,128,128,256,128
888,35,35,70,35
889,172,172,344,172
890,76,76,152,76
891,49,49,98,49
892,57,57,114,57
893,251,251,502,251
894,19,19,38,19
895,42,42,84,42
896,43,43,86,43
897,36,36,72,36
898,41,41,82,41
899,23,23,46,23
900,19,19,38,19
901,24,24,48,24
903,18,18,36,18
904,113,113,226,113
905,31,31,62,31
906,36,36,72,36
907,67,67,134,67
909,12,12,24,12
910,70,70,140,70
913,193,193,386,193
914,47,47,94,47
915,328,328,656,328
917,63,63,126,63
918,103,103,206,103
919,77,77,154,77
920,143,143,286,143
922,103,103,206,103
923,84,84,168,84
924,204,204,408,204
925,231,231,462,231
927,16,16,32,16
928,40,40,80,40
929,205,205,410,205
930,34,34,68,34
931,11,11,22,11
932,21,21,42,21
933,27,27,54,27
934,75,75,150,75
936,69,69,138,69
937,49,49,98,49
939,284,284,568,284
940,72,72,144,72
943,48,48,96,48
945,26,26,52,26
946,67,67,134,67
948,125,125,250,125
949,93,93,186,93
950,35,35,70,35
951,35,35,70,35
952,8,8,16,8
958,48,48,96,48
959,26,26,52,26
960,102,102,204,102
967,38,38,76,38
969,50,50,100,50
970,14,14,28,14
971,26,26,52,26
972,26,26,52,26
973,24,24,48,24
974,20,20,40,20
976,8,8,16,8
977,39,39,78,39
978,11,11,22,11
979,12,12,24,12
982,41,41,82,41
983,17,17,34,17
984,87,87,174,87
985,22,22,44,22
989,34,34,68,34
990,9,9,18,9
991,15,15,30,15
992,16,16,32,16
994,12,12,24,12
995,29,29,58,29
997,8,8,16,8
998,8,8,16,8
999,8,8,16,8
1000,33,33,66,33
1001,11,11,22,11
1003,7,7,14,7
1004,7,7,14,7
1007,4,4,8,4
1009,7,7,14,7
1010,14,14,28,14
1011,27,27,54,27
1013,15,15,30,15
1016,48,48,96,48
1017,38,38,76,38
1018,26,26,52,26
1019,17,17,34,17
1020,13,13,26,13
1025,9,9,18,9
1026,188,188,376,188
1027,134,134,268,134
1028,690,690,1380,690
1029,14,14,28,14
1030,124,124,248,124
1031,279,279,558,279
1032,150,150,300,150
1033,8,8,16,8
1034,49,49,98,49
1035,37,37,74,37
1036,136,136,272,136
1037,8,8,16,8
1038,69,69,138,69
1040,115,115,230,115
1041,36,36,72,36
1042,72,72,144,72
1043,106,106,212,106
1044,99,99,198,99
1045,96,96,192,96
1046,173,173,346,173
1048,119,119,238,119
1049,149,149,298,149
1050,172,172,344,172
1051,67,67,134,67
1052,64,64,128,64
1053,110,110,220,110
1054,29,29,58,29
1055,68,68,136,68
1056,88,88,176,88
1057,85,85,170,85
1058,44,44,88,44
1059,41,41,82,41
1060,87,87,174,87
1061,288,288,576,288
1063,74,74,148,74
1064,11,11,22,11
1068,137,137,274,137
1069,127,127,254,127
1070,118,118,236,118
1071,142,142,284,142
1072,103,103,206,103
1073,75,75,150,75
1074,73,73,146,73
1075,64,64,128,64
1076,220,220,440,220
1077,222,222,444,222
1078,30,30,60,30
1079,48,48,96,48
1080,62,62,124,62
1081,47,47,94,47
1082,61,61,122,61
1083,77,77,154,77
1084,188,188,376,188
1085,19,19,38,19
1086,73,73,146,73
1087,108,108,216,108
1088,62,62,124,62
1089,20,20,40,20
1090,73,73,146,73
1091,48,48,96,48
1092,31,31,62,31
1093,52,52,104,52
1094,131,131,262,131
1095,234,234,468,234
1096,66,66,132,66
1097,94,94,188,94
1098,26,26,52,26
1099,48,48,96,48
1101,109,109,218,109
1102,69,69,138,69
1103,105,105,210,105
1104,134,134,268,134
1105,58,58,116,58
1106,35,35,70,35
1107,29,29,58,29
1108,85,85,170,85
1109,23,23,46,23
1110,86,86,172,86
1111,120,120,240,120
1112,35,35,70,35
1113,45,45,90,45
1114,106,106,212,106
1115,44,44,88,44
1116,43,43,86,43
1117,38,38,76,38
1118,147,147,294,147
1119,21,21,42,21
1120,53,53,106,53
1121,49,49,98,49
1122,117,117,234,117
1125,21,21,42,21
1126,34,34,68,34
1127,92,92,184,92
1128,47,47,94,47
1129,29,29,58,29
1130,49,49,98,49
1132,72,72,144,72
1133,29,29,58,29
1134,15,15,30,15
1135,13,13,26,13
1136,10,10,20,10
1137,187,187,374,187
1138,201,201,402,201
1139,565,565,1130,565
1140,69,69,138,69
1141,78,78,156,78
1142,48,48,96,48
1143,69,69,138,69
1144,32,32,64,32
1145,102,102,204,102
1146,76,76,152,76
1147,63,63,126,63
1148,46,46,92,46
1149,17,17,34,17
1150,10,10,20,10
1151,18,18,36,18
1152,58,58,116,58
1153,32,32,64,32
1154,87,87,174,87
1158,70,70,140,70
1159,78,78,156,78
1160,19,19,38,19
1161,124,124,248,124
1162,162,162,324,162
1163,59,59,118,59
1164,65,65,130,65
1165,81,81,162,81
1166,45,45,90,45
1167,47,47,94,47
1168,122,122,244,122
1169,39,39,78,39
1170,82,82,164,82
1171,80,80,160,80
1172,21,21,42,21
1173,32,32,64,32
1174,54,54,108,54
1175,21,21,42,21
1176,80,80,160,80
1177,37,37,74,37
1178,54,54,108,54
1179,89,89,178,89
1180,162,162,324,162
1181,40,40,80,40
1182,39,39,78,39
1183,21,21,42,21
1184,41,41,82,41
1185,157,157,314,157
1186,7,7,14,7
1187,60,60,120,60
1188,63,63,126,63
1189,77,77,154,77
1190,88,88,176,88
1191,93,93,186,93
1192,17,17,34,17
1193,145,145,290,145
1194,12,12,24,12
1195,96,96,192,96
1196,47,47,94,47
1197,58,58,116,58
1198,112,112,224,112
1199,14,14,28,14
1200,9,9,18,9
1202,184,184,368,184
1203,48,48,96,48
1204,33,33,66,33
1205,75,75,150,75
1206,57,57,114,57
1207,61,61,122,61
1208,86,86,172,86
1209,43,43,86,43
1210,83,83,166,83
1211,17,17,34,17
1212,18,18,36,18
1213,186,186,372,186
1214,36,36,72,36
1215,40,40,80,40
1216,194,194,388,194
1217,104,104,208,104
1218,23,23,46,23
1221,62,62,124,62
1222,75,75,150,75
1224,68,68,136,68
1226,11,11,22,11
1227,10,10,20,10
1228,48,48,96,48
1229,33,33,66,33
1231,22,22,44,22
1232,9,9,18,9
1233,289,289,578,289
1234,91,91,182,91
1236,75,75,150,75
1238,47,47,94,47
1239,32,32,64,32
1240,44,44,88,44
1241,25,25,50,25
1242,65,65,130,65
1243,13,13,26,13
1244,57,57,114,57
1245,75,75,150,75
1246,29,29,58,29
1247,24,24,48,24
1248,33,33,66,33
1250,10,10,20,10
1252,88,88,176,88
1253,49,49,98,49
1255,19,19,38,19
1259,33,33,66,33
1265,24,24,48,24
1286,9,9,18,9
1288,26,26,52,26
1289,47,47,94,47
1290,20,20,40,20
1291,82,82,164,82
1292,20,20,40,20
1293,26,26,52,26
1294,27,27,54,27
1295,32,32,64,32
1296,21,21,42,21
1297,142,142,284,142
1298,49,49,98,49
1299,12,12,24,12
1300,45,45,90,45
1301,23,23,46,23
1302,46,46,92,46
1303,28,28,56,28
1304,193,193,386,193
1305,59,59,118,59
1306,111,111,222,111
1307,64,64,128,64
1308,118,118,236,118
1310,62,62,124,62
1311,15,15,30,15
1312,27,27,54,27
1313,42,42,84,42
1314,77,77,154,77
1315,68,68,136,68
1316,69,69,138,69
1317,42,42,84,42
1318,37,37,74,37
1319,21,21,42,21
1320,128,128,256,128
1321,86,86,172,86
1322,14,14,28,14
1323,47,47,94,47
1324,60,60,120,60
1325,12,12,24,12
1326,37,37,74,37
1327,8,8,16,8
1328,17,17,34,17
1330,128,128,256,128
1331,25,25,50,25
1332,66,66,132,66
1333,42,42,84,42
1334,220,220,440,220
1335,16,16,32,16
1337,45,45,90,45
1338,66,66,132,66
1339,27,27,54,27
1340,168,168,336,168
1341,141,141,282,141
1344,9,9,18,9
1345,8,8,16,8
1350,64,64,128,64
1351,10,10,20,10
1352,15,15,30,15
1354,59,59,118,59
1355,38,38,76,38
1356,8,8,16,8
1357,35,35,70,35
1359,22,22,44,22
1360,38,38,76,38
1361,36,36,72,36
1362,34,34,68,34
1363,15,15,30,15
1364,20,20,40,20
1365,91,91,182,91
1366,59,59,118,59
1367,106,106,212,106
1368,93,93,186,93
1370,9,9,18,9
1371,266,266,532,266
1372,12,12,24,12
1373,83,83,166,83
1375,27,27,54,27
1376,11,11,22,11
1377,10,10,20,10
1380,45,45,90,45
1381,21,21,42,21
1382,11,11,22,11
1384,32,32,64,32
1385,17,17,34,17
1387,107,107,214,107
1388,37,37,74,37
1389,81,81,162,81
1390,46,46,92,46
1391,13,13,26,13
1392,67,67,134,67
1393,49,49,98,49
1394,30,30,60,30
1395,63,63,126,63
1396,69,69,138,69
1397,40,40,80,40
1399,12,12,24,12
1401,87,87,174,87
1403,8,8,16,8
1404,15,15,30,15
1406,35,35,70,35
1408,62,62,124,62
1409,17,17,34,17
1410,26,26,52,26
1411,8,8,16,8
1413,32,32,64,32
1414,13,13,26,13
1416,18,18,36,18
1419,58,58,116,58
1420,29,29,58,29
1421,32,32,64,32
1422,59,59,118,59
1423,18,18,36,18
1424,80,80,160,80
1425,58,58,116,58
1426,46,46,92,46
1428,78,78,156,78
1429,26,26,52,26
1430,129,129,258,129
1432,13,13,26,13
1433,10,10,20,10
1434,20,20,40,20
1435,14,14,28,14
1436,31,31,62,31
1438,93,93,186,93
1439,111,111,222,111
1441,21,21,42,21
1442,25,25,50,25
1443,230,230,460,230
1448,22,22,44,22
1453,9,9,18,9
1455,50,50,100,50
1458,113,113,226,113
1459,100,100,200,100
1461,76,76,152,76
1464,88,88,176,88
1465,30,30,60,30
1466,13,13,26,13
1470,91,91,182,91
1471,127,127,254,127
1472,52,52,104,52
1475,16,16,32,16
1476,99,99,198,99
1477,30,30,60,30
1478,210,210,420,210
1479,48,48,96,48
1481,67,67,134,67
1483,24,24,48,24
1484,27,27,54,27
1485,30,30,60,30
1486,29,29,58,29
1487,55,55,110,55
1488,11,11,22,11
1490,14,14,28,14
1493,7,7,14,7
1498,11,11,22,11
1499,20,20,40,20
1502,10,10,20,10
1504,65,65,130,65
1507,203,203,406,203
1508,19,19,38,19
1513,23,23,46,23
1514,14,14,28,14
1515,40,40,80,40
1516,12,12,24,12
1517,43,43,86,43
1519,23,23,46,23
1521,8,8,16,8
1524,41,41,82,41
1526,9,9,18,9
1527,71,71,142,71
1528,240,240,480,240
1529,20,20,40,20
1531,8,8,16,8
1532,8,8,16,8
1535,29,29,58,29
1538,49,49,98,49
1539,12,12,24,12
1541,56,56,112,56
1543,25,25,50,25
1544,43,43,86,43
1545,18,18,36,18
1546,59,59,118,59
1547,23,23,46,23
1548,44,44,88,44
1549,52,52,104,52
1550,33,33,66,33
1551,16,16,32,16
1552,124,124,248,124
1553,18,18,36,18
1555,72,72,144,72
1558,76,76,152,76
1559,142,142,284,142
1560,97,97,194,97
1562,84,84,168,84
1565,46,46,92,46
1566,161,161,322,161
1568,68,68,136,68
1569,26,26,52,26
1572,65,65,130,65
1573,13,13,26,13
1574,39,39,78,39
1578,28,28,56,28
1579,20,20,40,20
1584,23,23,46,23
1585,33,33,66,33
1586,87,87,174,87
1588,105,105,210,105
1592,62,62,124,62
1594,19,19,38,19
1596,18,18,36,18
1597,48,48,96,48
1601,71,71,142,71
1602,66,66,132,66
1603,33,33,66,33
1604,26,26,52,26
1606,34,34,68,34
1607,48,48,96,48
1611,15,15,30,15
1615,39,39,78,39
1616,21,21,42,21
1619,20,20,40,20
1620,18,18,36,18
1622,19,19,38,19
1623,29,29,58,29
1624,10,10,20,10
1628,97,97,194,97
1629,44,44,88,44
1634,12,12,24,12
1635,12,12,24,12
1637,98,98,196,98
1639,9,9,18,9
1640,16,16,32,16
1642,3,3,6,3
1643,20,20,40,20
1645,17,17,34,17
1647,20,20,40,20
1649,14,14,28,14
1650,14,14,28,14
1651,38,38,76,38
1652,79,79,158,79
1653,93,93,186,93
1654,59,59,118,59
1656,43,43,86,43
1657,96,96,192,96
1660,11,11,22,11
1662,56,56,112,56
1663,42,42,84,42
1665,32,32,64,32
1667,110,110,220,110
1668,56,56,112,56
1669,31,31,62,31
1670,14,14,28,14
1672,279,279,558,279
1674,17,17,34,17
1678,10,10,20,10
1682,23,23,46,23
1683,48,48,96,48
1685,22,22,44,22
1686,63,63,126,63
1689,35,35,70,35
1691,100,100,200,100
1692,21,21,42,21
1695,22,22,44,22
1696,48,48,96,48
1697,90,90,180,90
1704,29,29,58,29
1707,17,17,34,17
1708,64,64,128,64
1710,10,10,20,10
1711,22,22,44,22
1713,33,33,66,33
1716,20,20,40,20
1723,8,8,16,8
1725,128,128,256,128
1727,8,8,16,8
1728,119,119,238,119
1734,34,34,68,34
1736,76,76,152,76
1737,164,164,328,164
1738,14,14,28,14
1742,40,40,80,40
1743,57,57,114,57
1744,18,18,36,18
1747,16,16,32,16
1748,8,8,16,8
1749,10,10,20,10
1756,55,55,110,55
1757,11,11,22,11
1759,24,24,48,24
1760,72,72,144,72
1761,23,23,46,23
1762,39,39,78,39
1763,59,59,118,59
1764,22,22,44,22
1765,122,122,244,122
1767,119,119,238,119
1768,197,197,394,197
1771,152,152,304,152
1772,33,33,66,33
1775,67,67,134,67
1777,28,28,56,28
1778,6,6,12,6
1781,48,48,96,48
1782,69,69,138,69
1783,42,42,84,42
1787,17,17,34,17
1788,71,71,142,71
1789,5,5,10,5
1790,39,39,78,39
1791,10,10,20,10
1792,14,14,28,14
1793,83,83,166,83
1797,29,29,58,29
1798,14,14,28,14
1800,11,11,22,11
1801,39,39,78,39
1802,14,14,28,14
1803,16,16,32,16
1806,35,35,70,35
1807,22,22,44,22
1809,40,40,80,40
1813,79,79,158,79
1814,91,91,182,91
1815,69,69,138,69
1816,90,90,180,90
1817,152,152,304,152
1818,4,4,8,4
1819,74,74,148,74
1821,198,198,396,198
1822,6,6,12,6
1823,32,32,64,32
1824,446,446,892,446
1827,51,51,102,51
1828,31,31,62,31
1831,56,56,112,56
1833,49,49,98,49
1835,146,146,292,146
1836,109,109,218,109
1837,13,13,26,13
1838,44,44,88,44
1841,51,51,102,51
1842,106,106,212,106
1843,54,54,108,54
1845,15,15,30,15
1846,16,16,32,16
1847,28,28,56,28
1849,29,29,58,29
1851,22,22,44,22
1852,19,19,38,19
1853,55,55,110,55
1854,11,11,22,11
1856,10,10,20,10
1857,10,10,20,10
1860,6,6,12,6
1862,74,74,148,74
1864,80,80,160,80
1865,21,21,42,21
1866,16,16,32,16
1870,18,18,36,18
1871,77,77,154,77
1873,52,52,104,52
1875,18,18,36,18
1876,55,55,110,55
1877,15,15,30,15
1879,19,19,38,19
1880,32,32,64,32
1881,8,8,16,8
1882,15,15,30,15
1883,71,71,142,71
